bart,espn_match
Michigan,Michigan
Houston,Houston
Arizona,Arizona
Connecticut,UConn
Illinois,Illinois
Purdue,Purdue
Virginia,Virginia
Florida,Florida
Duke,Duke
Gonzaga,Gonzaga
Michigan St.,Michigan State (fuzzy)
Iowa St.,Iowa State (fuzzy)
Vanderbilt,Vanderbilt
Louisville,Louisville
Nebraska,Nebraska
Kansas,Kansas
Alabama,Alabama
Texas Tech,Texas Tech
Iowa,Iowa
Tennessee,Tennessee
Saint Louis,Saint Louis
Arkansas,Arkansas
BYU,BYU
St. John's,St John's
Clemson,Clemson
Indiana,Indiana
N.C. State,NC State
SMU,SMU
North Carolina,North Carolina
Texas A&M,Texas A&M
Georgia,Georgia
Auburn,Auburn
Villanova,Villanova
Wisconsin,Wisconsin
Utah St.,Utah State (fuzzy)
Saint Mary's,Saint Mary's
Santa Clara,Santa Clara
Ohio St.,Ohio State (fuzzy)
Kentucky,Kentucky
New Mexico,New Mexico
San Diego St.,San Diego State (fuzzy)
Texas,Texas
UCLA,UCLA
Miami FL,Miami
Cincinnati,Cincinnati
Seton Hall,Seton Hall
West Virginia,West Virginia
LSU,LSU
UCF,UCF
TCU,TCU
Akron,Akron
Butler,Butler
Virginia Tech,Virginia Tech
Creighton,Creighton
Tulsa,Tulsa
Washington,Washington
USC,USC
Northwestern,Northwestern
Grand Canyon,Grand Canyon
Baylor,Baylor
Nevada,Nevada
Syracuse,Syracuse
Minnesota,Minnesota
Missouri,Missouri
VCU,VCU
Wake Forest,Wake Forest
California,California
Boise St.,Boise State (fuzzy)
Stanford,Stanford
South Florida,South Florida
Oklahoma St.,Oklahoma State (fuzzy)
South Carolina,South Carolina
Yale,Yale
Illinois St.,Illinois State (fuzzy)
Stephen F. Austin,Stephen F Austin
Miami OH,Miami (OH) (fuzzy)
Oregon,Oregon
Dayton,Dayton
Belmont,Belmont
Providence,Providence
George Washington,George Washington
McNeese St.,McNeese (fuzzy)
Oklahoma,Oklahoma
Florida Atlantic,Florida Atlantic
Kansas St.,Kansas State (fuzzy)
Utah Valley,Utah Valley
Mississippi,Mississippi State (fuzzy)
Hawaii,Hawai'i (fuzzy)
Xavier,Xavier
Memphis,Memphis
Notre Dame,Notre Dame
Colorado,Colorado
Mississippi St.,Mississippi State (fuzzy)
Colorado St.,Colorado State (fuzzy)
Murray St.,Murray State (fuzzy)
Arizona St.,Arizona State (fuzzy)
Wyoming,Wyoming
George Mason,George Mason
Northern Iowa,Northern Iowa
Liberty,Liberty
High Point,High Point
Seattle,Seattle U (fuzzy)
San Francisco,San Francisco
Wichita St.,Wichita State (fuzzy)
Georgetown,Georgetown
Utah,Utah
UC San Diego,UC San Diego
Pittsburgh,Pittsburgh
DePaul,DePaul
Troy,Troy
Maryland,Maryland
