Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,Unnamed: 34,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,canonical_team,bart_wins,bart_losses,source
Michigan,128.78579004343,92.385295040353,0.97854482236168,33–3,33,36,58.7,45.2,37.7,26.2,16.5,15.3,35.0,27.1,71.3,61.5,44.5,36.6,30.8,16.5,9.0,61.1,47.3,41.7,42.2,71.048669398335,78.65553494124924,82.70450000000001,1.952,2026,0,0,70.27396000000002,,74.7,74.4,1.222,0.972,40.753933333333,Michigan,33,3,barttorvik
Arizona,127.29040962257,91.586997332462,0.97780821400481,34–2,34,36,54.9,44.8,43.9,27.0,15.1,16.4,38.8,26.6,71.2,55.0,43.7,36.4,31.1,11.3,8.5,54.9,49.6,26.8,37.6,69.844637725007,79.01392641862398,81.875,1.4029999999999996,2026,0,0,73.52604000000001,,73.0,71.4,1.206,0.959,37.737805555556,Arizona,34,2,barttorvik
Duke,127.09381119645,91.596568893731,0.97739266829017,34–2,34,36,56.6,45.9,37.9,23.0,15.9,17.7,38.3,24.9,67.0,60.3,46.0,34.6,30.5,10.3,9.3,59.0,51.7,44.3,45.2,65.879619597802,79.37824675324674,81.3585,0.8438312337532494,2026,0,0,91.18896,,73.2,71.6,1.223,0.941,36.430055555556,Duke,34,2,barttorvik
Houston,125.50375249781,91.753166985965,0.97345956910456,30–6,30,36,52.2,46.0,27.0,38.6,12.9,20.7,36.0,30.2,64.9,52.0,45.2,34.9,31.4,12.6,6.3,52.0,53.4,40.5,41.4,63.356030023209,77.85163385427236,80.7715,1.5526,2026,0,0,81.89944,,77.2,69.9,1.189,0.955,35.715375,Houston,30,6,barttorvik
Florida,126.85844501869,93.193399113651,0.97198341515937,27–8,27,35,54.1,46.1,39.0,34.0,16.3,15.3,43.3,24.8,72.0,58.5,45.1,31.2,32.1,12.4,7.0,55.0,44.6,37.0,34.1,70.154143185178,78.88609715242882,83.075,1.9246,2026,0,0,41.65820000000001,,71.2,72.8,1.209,0.993,38.5701,Florida,27,8,barttorvik
Illinois,132.43846306638,98.243795280201,0.96877033514602,26–8,26,34,55.3,47.5,32.7,19.7,13.0,11.7,39.2,26.8,66.2,58.1,48.3,35.0,31.0,12.7,8.4,50.9,50.7,50.4,42.5,65.7139828885,79.98096632503659,83.21749999999999,1.5539107821564309,2026,0,0,63.142,,78.4,72.7,1.261,1.032,37.553108823529,Illinois,26,8,barttorvik
Iowa St.,124.18215391721,92.829770393348,0.96598326597972,29–7,29,36,56.5,49.6,34.3,28.1,14.9,22.5,35.5,28.0,68.5,55.6,50.8,38.7,32.0,8.6,9.9,58.7,54.3,38.8,42.7,67.23231984143,78.03098707161911,81.38299999999998,1.9328000000000003,2026,0,0,50.88844,,67.7,71.4,1.205,0.954,34.556094444444,Iowa State (fuzzy),29,7,barttorvik
Purdue,133.56722303642,100.44325771323,0.96365361471221,29–8,29,37,58.2,52.1,28.7,25.2,13.8,15.6,36.4,26.7,65.3,58.2,53.2,38.8,33.9,9.0,6.6,66.5,57.9,40.6,44.3,64.504531088113,77.58702305651907,82.1035,2.0193999999999988,2026,0,0,59.33872,,74.9,72.2,1.254,1.07,40.624381081081,Purdue,29,8,barttorvik
Connecticut,123.31421425601,95.284575701929,0.95098999049556,31–5,31,36,55.3,45.8,30.2,40.6,16.9,18.0,36.2,28.2,65.9,57.5,45.7,34.7,30.7,15.0,9.5,65.2,49.6,40.5,36.3,64.678521835923,78.28839028406753,81.36049999999999,2.00259948010398,2026,0,0,84.24720000000002,,72.2,71.9,1.167,0.98,33.512647222222,UConn,31,5,barttorvik
St. John's,120.34719590181,93.346397254016,0.94891029577768,30–6,30,36,50.9,47.2,41.0,31.5,14.6,19.2,35.5,29.7,70.7,51.5,47.4,33.2,31.2,12.3,9.9,57.7,46.7,34.7,33.3,69.54218167252,78.15736040609139,80.48850000000002,2.3036000000000003,2026,0,0,70.09375999999999,,72.4,71.3,1.142,0.977,31.947758333333,St John's,30,6,barttorvik
