Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS
Arizona,128.02813986862,91.877144566163,0.97845170015439,35–2,35,37,55.2,45.0,44.5,27.4,15.1,16.3,38.5,26.6,71.4,55.3,44.2,36.8,30.9,11.2,8.5,54.8,49.3,26.4,37.6,69.98804556508,79.00975913621264,81.872,1.3997999999999995,2026,0,0,73.7064,,73.1,71.7,1.211,0.963,38.114735135135
Michigan,128.84074436644,92.485892857529,0.97838448228655,33–3,33,36,58.7,45.2,37.7,26.2,16.5,15.3,35.0,27.1,71.3,61.5,44.5,36.6,30.8,16.5,9.0,61.1,47.3,41.7,42.2,71.0630501979,78.65553494124924,82.70450000000001,1.952,2026,0,0,70.27396,,74.7,74.4,1.222,0.972,40.632561111111
Duke,127.16579971421,91.7244074206,0.97718119680487,34–2,34,36,56.6,45.9,37.9,23.0,15.9,17.7,38.3,24.9,67.0,60.3,46.0,34.6,30.5,10.3,9.3,59.0,51.7,44.3,45.2,65.884715063416,79.37824675324674,81.3585,0.8438312337532494,2026,0,0,91.18896,,73.2,71.6,1.223,0.941,36.301455555556
Florida,126.86818153641,93.290375192343,0.9716801616091,27–8,27,35,54.1,46.1,39.0,34.0,16.3,15.3,43.3,24.8,72.0,58.5,45.1,31.2,32.1,12.4,7.0,55.0,44.6,37.0,34.1,70.155800420891,78.88609715242882,83.075,1.9245999999999996,2026,0,0,41.65819999999999,,71.2,72.8,1.209,0.993,38.463082857143
Houston,124.77834635084,91.866994065105,0.97128685673679,30–7,30,37,51.9,46.2,26.3,38.7,12.8,20.6,35.7,30.3,64.8,51.7,45.3,34.7,31.6,12.5,6.4,52.6,53.5,40.7,41.5,63.235115257712,77.84604462474644,80.76749999999998,1.5530000000000004,2026,0,0,81.96755999999999,,77.3,69.5,1.183,0.959,36.713056756757
Illinois,132.46036822501,97.723929467903,0.97061871787511,27–8,27,35,55.2,47.3,32.9,19.2,13.1,11.6,39.1,26.8,66.0,57.8,48.1,35.1,30.9,12.6,8.3,51.0,51.4,50.3,42.7,65.598380260986,79.97597660330061,83.2175,1.552621048419367,2026,0,0,63.36879999999999,,77.8,72.8,1.257,1.03,38.625237142857
Iowa St.,124.2140375403,92.944627680793,0.9656110602671,29–7,29,36,56.5,49.6,34.3,28.1,14.9,22.5,35.5,28.0,68.5,55.6,50.8,38.7,32.0,8.6,9.9,58.7,54.3,38.8,42.7,67.23826833426,78.03098707161911,81.38299999999998,1.9328000000000003,2026,0,0,50.88844,,67.7,71.4,1.205,0.954,34.381561111111
Purdue,133.65572366071,100.9324895944,0.96192494300429,30–8,30,38,58.0,52.4,28.8,25.2,13.6,15.5,36.5,27.0,65.2,58.3,53.3,38.4,34.1,8.8,6.5,65.8,57.2,40.3,44.3,64.409481278131,77.57798165137615,82.08850000000001,2.0253999999999994,2026,0,0,59.36592,,74.9,71.7,1.255,1.075,40.6155
Connecticut,123.3915086392,95.37256159253,0.95083089776932,31–5,31,36,55.3,45.8,30.2,40.6,16.9,18.0,36.2,28.2,65.9,57.5,45.7,34.7,30.7,15.0,9.5,65.2,49.6,40.5,36.3,64.687843849767,78.28839028406753,81.36049999999999,2.0025994801039797,2026,0,0,84.2472,,72.2,71.9,1.167,0.98,33.488227777778
St. John's,120.42382318895,93.464153475031,0.9485611792056,30–6,30,36,50.9,47.2,41.0,31.5,14.6,19.2,35.5,29.7,70.7,51.5,47.4,33.2,31.2,12.3,9.9,57.7,46.7,34.7,33.3,69.547517787444,78.15736040609139,80.48850000000002,2.3036000000000003,2026,0,0,70.09376,,72.4,71.3,1.142,0.977,31.844363888889
Michigan St.,123.6446101068,96.169588711381,0.94734636715833,27–7,27,34,54.1,48.7,36.0,30.2,17.2,14.9,37.9,22.5,67.0,53.7,48.4,36.5,32.7,13.7,8.0,67.9,56.5,36.7,46.3,66.174749323353,78.48417657730296,81.6705,1.821,2026,0,0,68.69040000000001,,76.5,74.7,1.175,1.014,37.586837058824
Tennessee,122.16116513947,95.261569152755,0.94584453927496,24–11,24,35,51.9,47.5,38.3,35.3,17.3,16.2,44.8,28.0,67.2,52.3,49.0,34.0,30.5,11.4,9.4,60.3,45.3,31.9,44.9,65.259632505772,78.43863179074447,82.2905,1.4745050989802038,2026,0,0,59.819120000000005,,69.6,70.2,1.169,1.017,38.429802857143
Alabama,130.34647211069,102.288612829,0.94200062921619,25–9,25,34,55.5,48.9,36.5,32.1,13.2,12.8,32.6,32.7,74.3,57.2,48.2,36.1,33.3,11.4,12.1,54.2,46.4,53.9,35.2,73.010255723664,77.96537807986405,81.12950000000001,1.5218000000000005,2026,0,0,73.36823999999999,,76.4,70.0,1.224,1.103,40.591485294118
Vanderbilt,127.85883606677,100.35896053471,0.94185955666067,27–9,27,36,55.3,49.0,38.1,39.5,13.5,17.7,31.2,31.5,70.4,56.9,49.0,35.6,32.6,12.4,7.4,56.4,46.9,44.2,37.9,68.771360890843,77.2409762100082,79.9015,2.307138572285542,2026,0,0,35.422560000000004,,78.9,75.4,1.209,1.057,37.234091666667
Gonzaga,119.51214040175,94.703467441765,0.93557589871371,31–4,31,35,55.6,46.3,31.0,30.9,13.6,20.0,34.8,25.7,70.2,58.2,46.6,33.3,30.6,11.1,6.0,57.5,52.8,30.8,42.8,68.706517278021,77.91192549099007,80.52649999999998,2.0986197239447884,2026,0,0,37.00852,,70.7,71.5,1.197,0.94,24.386768571429
