Relative Ranking,Team,O-Rate,D-Rate,Relative Rating,Opponent Adjust,Pace Adjust,Off Rank,Def Rank,True Tempo,Tempo Rank,Injury Rank,Home Rank,Roster Rank,Kill Shots Per Game,Kill Shots Conceded Per Game,Kill Shots Margin Per Game,Total Kill Shots,Total Kill Shots Conceded,D1 Wins,D1 Losses
1,Duke,17.4,17.3,34.8,-0.05,-0.05,3,1,67.1,273,2,294,2,1.06,0.24,0.82,36,8,32,2
2,Michigan,17.4,17.1,34.5,0.03,0.03,4,2,71.8,22,1,125,1,1.09,0.09,1.0,37,3,31,3
3,Arizona,15.6,16.5,32.0,0.03,-0.05,10,4,71.4,28,3,28,5,1.0,0.06,0.94,34,2,32,2
4,Florida,15.8,15.6,31.4,0.03,0.03,8,6,71.6,24,4,230,4,0.94,0.15,0.79,31,5,26,7
5,Houston,14.2,16.8,31.0,-0.05,-0.05,14,3,64.9,356,5,43,6,1.12,0.32,0.79,38,11,28,6
6,Purdue,22.3,8.0,30.3,-0.05,0.03,1,30,65.5,342,6,289,3,0.86,0.43,0.43,30,15,27,8
7,Iowa State,13.5,16.0,29.5,-0.05,0.03,17,5,68.3,198,7,49,10,1.24,0.47,0.76,42,16,27,7
8,Connecticut,15.7,13.3,29.0,0.03,-0.05,9,11,65.4,344,9,221,8,0.53,0.24,0.29,18,8,29,5
9,Illinois,19.4,9.5,28.9,-0.05,-0.05,2,21,67.1,275,8,224,7,1.13,0.22,0.91,36,7,24,8
10,Gonzaga,12.8,14.9,27.7,-0.05,0.03,22,7,70.4,69,11,87,13,1.09,0.36,0.73,36,12,30,3
11,St. John's,10.8,14.7,25.5,0.03,0.03,34,8,70.8,55,10,97,12,0.74,0.21,0.53,25,7,28,6
12,Michigan State,12.6,11.9,24.6,0.03,-0.05,23,14,67.2,264,12,68,16,0.66,0.19,0.47,21,6,25,7
13,Virginia,12.6,11.5,24.1,0.03,0.03,24,15,66.9,283,13,102,23,0.94,0.21,0.74,32,7,29,5
14,Vanderbilt,16.0,8.0,24.0,0.03,0.03,7,31,70.0,98,14,118,14,0.76,0.24,0.53,26,8,26,8
15,Arkansas,17.1,6.7,23.8,-0.05,0.03,6,43,71.5,27,15,60,11,0.85,0.26,0.59,29,9,26,8
16,Tennessee,11.2,12.4,23.5,-0.05,-0.05,32,13,66.2,308,16,41,21,0.64,0.18,0.45,21,6,22,11
17,Alabama,17.3,5.9,23.2,-0.05,0.03,5,54,74.3,2,21,183,15,0.44,0.41,0.03,14,13,23,9
18,Nebraska,8.2,14.1,22.3,0.03,0.03,50,10,68.0,223,17,175,32,0.91,0.28,0.63,29,9,26,6
19,Kansas,8.6,13.3,21.9,-0.05,0.03,49,12,68.7,174,18,4,18,0.52,0.45,0.06,17,15,23,10
20,Louisville,12.5,9.3,21.8,-0.05,0.03,25,23,70.9,49,20,34,9,1.0,0.33,0.67,33,11,23,10
21,Wisconsin,15.4,6.2,21.7,0.03,-0.05,11,52,69.2,152,25,69,28,0.76,0.32,0.44,26,11,24,10
22,Ohio State,14.8,6.4,21.2,-0.05,-0.05,12,50,67.5,244,19,151,17,0.55,0.33,0.21,18,11,21,12
23,Saint Mary's,9.7,10.6,20.4,-0.05,-0.05,43,18,66.1,317,22,20,45,0.74,0.13,0.61,23,4,26,5
24,UCLA,13.1,7.3,20.3,-0.05,-0.05,20,38,66.0,323,27,18,22,0.56,0.47,0.09,19,16,23,11
25,Kentucky,10.7,9.5,20.2,-0.05,-0.05,35,22,69.8,105,24,30,20,0.62,0.38,0.24,21,13,21,13
26,Iowa,12.1,8.0,20.1,-0.05,-0.05,29,32,64.8,359,23,59,26,0.73,0.52,0.21,24,17,21,12
27,Cincinnati,4.8,14.2,19.1,0.03,0.03,81,9,68.3,195,26,38,31,0.82,0.45,0.36,27,15,18,15
28,Miami (Fla.),11.6,7.1,18.6,-0.05,0.03,30,39,68.8,167,28,282,25,0.73,0.24,0.48,24,8,25,8
29,Texas Tech,11.5,6.7,18.3,0.03,0.03,31,42,67.5,246,34,100,35,0.81,0.38,0.44,26,12,22,10
30,Georgia,13.2,5.1,18.2,-0.05,0.03,18,63,72.4,15,29,126,30,0.97,0.44,0.53,31,14,22,10
31,Saint Louis,10.3,7.4,17.7,0.03,0.03,37,35,72.1,17,30,6,48,1.19,0.28,0.91,38,9,27,5
32,Utah State,12.2,5.4,17.6,0.03,-0.05,27,61,68.5,181,31,79,40,0.64,0.21,0.42,21,7,27,6
33,Oklahoma,14.6,2.8,17.4,0.03,-0.05,13,105,67.5,248,32,55,33,0.56,0.35,0.21,19,12,19,15
34,Texas,13.8,3.3,17.1,-0.05,-0.05,16,94,67.9,225,35,244,34,0.39,0.29,0.1,12,9,17,14
35,Auburn,14.1,2.9,17.1,-0.05,0.03,15,102,68.5,187,33,51,27,0.48,0.45,0.03,16,15,17,16
36,Santa Clara,12.9,4.0,16.9,-0.05,0.03,21,80,70.1,93,36,223,58,0.67,0.36,0.3,22,12,25,8
37,SMU,12.2,4.5,16.6,-0.05,0.03,28,70,70.1,95,48,32,29,0.7,0.3,0.39,23,10,20,13
38,Clemson,6.4,10.2,16.6,-0.05,0.03,70,19,65.6,337,37,281,46,0.62,0.26,0.35,21,9,24,10
39,BYU,9.9,6.6,16.5,-0.05,-0.05,40,44,70.9,48,39,15,19,0.52,0.39,0.12,17,13,23,11
40,NC State,12.3,4.2,16.5,-0.05,-0.05,26,78,70.2,87,38,90,24,0.85,0.45,0.39,28,15,20,13
41,Texas A&M,9.8,6.6,16.4,-0.05,0.03,41,45,72.0,19,40,267,42,0.91,0.47,0.44,29,15,21,11
42,VCU,9.6,6.5,16.1,0.03,0.03,44,47,69.9,103,43,142,53,0.58,0.42,0.15,19,14,27,7
43,TCU,6.8,9.2,16.0,0.03,0.03,67,24,69.0,158,41,123,43,0.52,0.3,0.21,17,10,22,11
44,South Florida,8.1,7.7,15.8,-0.05,-0.05,53,33,72.4,13,42,227,44,0.74,0.35,0.39,23,11,24,8
45,Indiana,10.8,4.5,15.3,-0.05,0.03,33,69,67.3,259,44,25,38,0.44,0.34,0.09,14,11,18,14
