Rk,Team,Eff,FTAR,FT%,FGAR,FG%,3PAR,3P%,MRAR,MR%,NPAR,NP%,PPSt,PPSC,SCC%,%3PA,%MRA,%NPA,Prox,AP%
1.0,Duke,88.78,19.53,,86.69,36.99,36.69,28.32,24.49,35.35,25.52,51.03,10.33,10.62,3.77,42.32,28.24,29.44,2.129,1.0
1.0,Florida 6,,5.0,,,9.0,,,13.0,,,,,,,,,,,
1.0,Duke 1,,5.0,,,9.0,,,13.0,,,,,,,,,,,
1.0,Arizona 3,,5.0,,,9.0,,,13.0,,,,,,,,,,,
1.0,Michigan 2,,5.0,,,9.0,,,13.0,,,,,,,,,,,
2.0,Michigan,90.92,19.46,,89.39,36.6,35.78,29.22,26.94,32.34,26.67,50.79,9.52,12.41,4.51,40.03,30.13,29.84,2.102,0.997
2.0,Purdue 7,,6.0,,,10.0,,,14.0,,,,,,,,,,,
2.0,Houston 5,,6.0,,,10.0,,,14.0,,,,,,,,,,,
2.0,Gonzaga 11,,6.0,,,10.0,,,14.0,,,,,,,,,,,
2.0,UConn 12,,6.0,,,10.0,,,14.0,,,,,,,,,,,
3.0,Arizona,90.31,21.82,,87.97,36.49,33.5,29.48,29.66,35.9,24.81,46.65,8.5,13.07,4.39,38.08,33.71,28.21,2.099,0.995
3.0,Virginia 10,,7.0,,,11.0,,,15.0,,,,,,,,,,,
3.0,Illinois 4,,7.0,,,11.0,,,15.0,,,,,,,,,,,
3.0,Nebraska 18,,7.0,,,11.0,,,15.0,,,,,,,,,,,
3.0,Michigan State 9,,7.0,,,11.0,,,15.0,,,,,,,,,,,
4.0,Illinois,97.93,17.91,,94.88,38.62,39.6,28.6,27.58,36.21,27.7,55.35,10.57,13.63,4.9,41.73,29.07,29.2,2.125,0.992
4.0,Arkansas 13,,8.0,,,12.0,,,16.0,,,,,,,,,,,
4.0,Alabama 14,,8.0,,,12.0,,,16.0,,,,,,,,,,,
4.0,Iowa State 8,,8.0,,,12.0,,,16.0,,,,,,,,,,,
4.0,Vanderbilt 16,,8.0,,,12.0,,,16.0,,,,,,,,,,,
5.0,Houston,90.3,27.89,,80.65,37.52,33.42,30.87,20.81,28.72,26.42,52.87,7.62,13.5,5.61,41.44,25.81,32.75,2.087,0.989
6.0,Florida,92.19,24.18,,86.04,38.3,28.02,31.29,26.63,35.27,31.39,47.14,9.64,11.92,4.08,32.57,30.95,36.48,1.961,0.986
7.0,Purdue,101.65,20.17,,88.1,42.41,36.93,33.49,25.77,41.8,25.4,56.01,8.91,11.16,3.74,41.91,29.26,28.83,2.131,0.984
8.0,Iowa State,91.15,20.64,,81.57,39.96,36.03,31.14,21.07,34.83,24.48,57.34,10.02,12.53,5.06,44.17,25.83,30.01,2.142,0.981
9.0,Michigan State,94.76,23.27,,85.17,38.54,37.22,31.42,23.53,33.62,24.42,54.13,11.17,10.31,3.46,43.7,27.63,28.67,2.15,0.978
10.0,Virginia,95.06,24.18,,88.87,37.6,32.78,30.6,26.71,35.08,29.38,47.71,10.39,14.99,4.31,36.88,30.06,33.06,2.038,0.975
11.0,Gonzaga,92.09,23.31,,84.18,38.48,34.21,30.04,24.23,34.28,25.73,53.66,10.02,11.57,4.12,40.65,28.78,30.57,2.101,0.973
12.0,UConn,95.65,28.0,,83.94,39.61,30.13,30.5,22.34,38.42,31.47,49.17,8.4,13.33,5.11,35.89,26.61,37.5,1.984,0.97
13.0,Arkansas,100.89,22.95,,88.09,42.42,31.05,30.87,22.34,36.83,34.7,56.37,7.14,11.77,4.41,35.25,25.37,39.39,1.959,0.967
14.0,Alabama,101.0,23.25,,91.75,40.4,32.36,32.77,27.15,36.62,32.25,51.24,9.28,16.18,5.82,35.27,29.59,35.14,2.001,0.964
15.0,Wisconsin,100.87,22.13,,89.14,41.54,34.41,31.37,24.91,40.5,29.82,54.13,7.37,11.85,4.39,38.6,27.94,33.46,2.051,0.962
16.0,Vanderbilt,100.24,29.52,,83.45,40.53,31.14,33.4,22.73,35.25,29.57,52.11,7.55,12.59,3.93,37.32,27.24,35.44,2.019,0.959
17.0,Tennessee,96.64,26.92,,85.68,38.87,35.35,30.36,24.07,38.15,26.26,50.99,10.13,10.56,3.3,41.26,28.09,30.65,2.106,0.956
18.0,Nebraska,92.57,19.04,,85.72,38.9,40.54,29.22,22.9,35.91,22.28,59.58,8.04,11.62,4.16,47.29,26.71,25.99,2.213,0.953
19.0,St. John's,94.75,24.18,,85.33,40.67,27.12,30.06,22.84,36.21,35.36,51.69,7.11,13.46,6.19,31.79,26.77,41.44,1.903,0.951
20.0,Ohio State,101.36,27.61,,86.48,41.0,32.77,30.59,26.31,38.11,27.39,56.22,10.07,11.97,4.16,37.9,30.43,31.67,2.062,0.948
