Rk,Team,Eff,FTAR,FT%,FGAR,FG%,3PAR,3P%,MRAR,MR%,NPAR,NP%,PPSt,PPSC,SCC%,%3PA,%MRA,%NPA,Prox,AP%
1.0,Duke,129.58,34.54,71.66,89.0,51.1,37.89,36.58,9.93,43.51,41.18,66.29,13.83,20.0,8.75,42.57,11.15,46.27,1.963,1.0
1.0,Florida 6,,5.0,,,9.0,,,13.0,,,,,,,,,,,
1.0,Duke 1,,5.0,,,9.0,,,13.0,,,,,,,,,,,
1.0,Arizona 3,,5.0,,,9.0,,,13.0,,,,,,,,,,,
1.0,Michigan 2,,5.0,,,9.0,,,13.0,,,,,,,,,,,
2.0,Michigan,129.97,34.28,75.79,88.09,51.76,33.84,37.83,13.08,42.39,41.16,66.18,12.51,20.05,10.68,38.42,14.85,46.73,1.917,0.997
2.0,Purdue 7,,6.0,,,10.0,,,14.0,,,,,,,,,,,
2.0,Houston 5,,6.0,,,10.0,,,14.0,,,,,,,,,,,
2.0,Gonzaga 11,,6.0,,,10.0,,,14.0,,,,,,,,,,,
2.0,UConn 12,,6.0,,,10.0,,,14.0,,,,,,,,,,,
3.0,Arizona,127.38,38.09,73.9,88.69,50.88,24.54,36.6,26.56,45.42,37.6,64.05,14.48,16.61,6.9,27.66,29.95,42.39,1.853,0.995
3.0,Virginia 10,,7.0,,,11.0,,,15.0,,,,,,,,,,,
3.0,Illinois 4,,7.0,,,11.0,,,15.0,,,,,,,,,,,
3.0,Nebraska 18,,7.0,,,11.0,,,15.0,,,,,,,,,,,
3.0,Michigan State 9,,7.0,,,11.0,,,15.0,,,,,,,,,,,
4.0,Illinois,133.05,32.2,79.14,94.28,48.41,45.18,36.06,14.66,41.28,34.44,67.63,8.04,14.95,7.19,47.92,15.55,36.53,2.114,0.992
4.0,Arkansas 13,,8.0,,,12.0,,,16.0,,,,,,,,,,,
4.0,Alabama 14,,8.0,,,12.0,,,16.0,,,,,,,,,,,
4.0,Iowa State 8,,8.0,,,12.0,,,16.0,,,,,,,,,,,
4.0,Vanderbilt 16,,8.0,,,12.0,,,16.0,,,,,,,,,,,
5.0,Houston,125.53,28.99,77.25,95.0,46.9,37.89,36.98,28.49,39.01,28.62,67.89,15.06,15.64,6.0,39.88,29.99,30.13,2.098,0.989
6.0,Florida,126.81,34.97,71.18,90.75,49.97,33.68,33.35,16.0,43.72,41.07,66.02,14.43,21.08,9.91,37.11,17.63,45.26,1.919,0.986
7.0,Purdue,134.69,30.33,73.91,93.89,52.11,36.49,39.51,25.91,47.67,31.49,70.36,12.96,17.83,8.4,38.87,27.6,33.54,2.053,0.984
8.0,Iowa State,123.82,31.81,67.79,90.12,49.15,36.17,37.77,18.49,40.18,35.46,65.44,17.19,17.62,8.11,40.14,20.52,39.35,2.008,0.981
9.0,Michigan State,124.6,33.7,75.54,88.29,49.43,31.09,38.15,24.1,41.65,33.1,65.68,10.73,17.52,8.86,35.21,27.3,37.49,1.977,0.978
10.0,Virginia,124.3,30.21,74.02,91.3,47.61,40.7,36.85,16.06,44.52,34.53,61.73,13.21,17.45,7.26,44.58,17.59,37.83,2.068,0.975
11.0,Gonzaga,121.18,28.55,70.2,90.21,50.56,29.69,33.41,24.76,46.82,35.76,67.38,15.05,15.87,8.33,32.91,27.45,39.64,1.933,0.973
12.0,UConn,124.18,29.0,71.08,91.15,49.14,39.22,35.64,17.07,47.07,34.86,65.36,13.77,20.16,7.66,43.03,18.73,38.24,2.048,0.97
13.0,Arkansas,129.42,30.58,75.52,91.06,51.83,30.18,39.54,20.04,37.5,40.83,67.95,15.56,17.08,9.45,33.15,22.01,44.84,1.883,0.967
14.0,Alabama,129.62,33.4,76.32,89.7,48.72,45.05,37.12,10.19,47.99,34.46,64.11,13.48,15.42,7.32,50.22,11.36,38.42,2.118,0.964
15.0,Wisconsin,128.81,31.22,79.05,91.09,47.67,45.57,37.92,11.92,45.6,33.6,61.64,11.73,17.26,7.11,50.02,13.09,36.89,2.131,0.962
16.0,Vanderbilt,127.45,33.2,79.08,89.48,48.92,37.64,36.27,17.61,42.79,34.22,65.99,16.32,16.57,8.01,42.07,19.68,38.25,2.038,0.959
17.0,Tennessee,123.47,35.33,68.97,92.67,47.91,29.82,34.59,22.08,39.29,40.77,62.32,14.41,21.13,9.01,32.18,23.83,43.99,1.882,0.956
18.0,Nebraska,119.82,26.52,74.55,89.39,47.43,42.55,35.87,14.46,37.42,32.38,67.09,15.09,15.77,6.34,47.6,16.18,36.22,2.114,0.953
19.0,St. John's,121.32,36.18,72.13,89.91,46.95,32.13,33.58,18.53,38.53,39.26,61.87,16.51,22.1,9.49,35.73,20.61,43.66,1.921,0.951
20.0,Ohio State,127.33,33.99,78.76,86.47,50.91,33.05,37.89,21.96,48.84,31.47,66.03,10.01,13.8,5.52,38.22,25.39,36.39,2.018,0.948
21.0,Louisville,124.34,30.37,76.38,87.77,48.81,42.94,36.02,9.79,47.38,35.04,64.88,15.54,15.34,5.76,48.92,11.16,39.92,2.09,0.945
22.0,Texas Tech,126.15,24.89,72.16,92.28,49.12,43.06,40.72,21.71,44.8,27.51,65.68,11.71,15.85,7.11,46.66,23.52,29.81,2.168,0.942
23.0,Saint Mary's,123.39,30.02,81.99,91.29,46.66,34.28,39.59,22.53,38.07,34.48,59.31,10.48,19.96,7.92,37.55,24.68,37.76,1.998,0.94
24.0,Iowa,124.18,31.76,77.2,86.99,50.14,33.89,36.65,15.17,42.19,37.93,65.37,11.6,13.39,5.65,38.96,17.43,43.61,1.954,0.937
25.0,Kansas,118.98,30.82,77.57,89.55,46.76,31.49,35.99,23.71,36.47,34.35,63.73,11.83,17.07,7.31,35.17,26.47,38.36,1.968,0.934
26.0,Kentucky,122.25,34.43,72.51,88.62,48.17,34.38,34.62,20.12,41.01,34.12,66.04,14.84,17.8,8.03,38.8,22.7,38.5,2.003,0.931
27.0,UCLA,126.72,31.7,75.84,90.93,49.33,32.3,40.17,26.4,43.04,32.23,63.66,12.58,14.94,6.85,35.52,29.03,35.45,2.001,0.929
28.0,North Carolina,122.51,32.13,68.28,88.43,49.59,35.27,36.49,18.46,44.1,34.7,65.82,9.84,15.94,8.84,39.89,20.87,39.24,2.006,0.926
29.0,BYU,124.84,31.41,74.26,91.06,48.78,35.74,35.46,23.48,43.62,31.85,67.54,13.03,16.54,7.89,39.25,25.78,34.97,2.043,0.923
30.0,Georgia,125.76,31.59,74.59,90.64,48.64,39.24,35.72,12.99,40.51,38.41,64.59,18.42,19.44,8.39,43.29,14.33,42.38,2.009,0.92
31.0,Santa Clara,124.24,25.11,75.05,94.7,47.89,41.05,35.8,19.4,46.41,34.25,63.22,15.97,19.05,8.24,43.34,20.49,36.17,2.072,0.918
32.0,Clemson,117.73,32.63,73.33,86.71,46.79,35.81,35.34,17.67,45.69,33.24,59.71,11.05,14.46,6.1,41.29,20.38,38.33,2.03,0.915
33.0,Oklahoma,126.29,32.15,74.1,89.47,49.02,38.19,38.65,17.92,46.13,33.36,62.43,12.87,15.67,7.73,42.69,20.03,37.29,2.054,0.912
34.0,Utah State,121.71,31.61,69.81,88.59,49.31,34.27,35.83,13.97,39.64,40.35,64.12,17.22,18.1,9.49,38.69,15.77,45.54,1.931,0.909
35.0,Miami,122.37,33.0,68.04,88.92,50.65,27.57,35.74,19.65,41.42,41.69,64.85,14.91,16.89,8.3,31.01,22.1,46.89,1.841,0.907
36.0,Indiana,123.36,30.3,79.96,85.69,49.39,40.57,35.71,12.13,48.87,32.99,66.4,9.8,13.54,5.86,47.34,14.16,38.5,2.088,0.904
37.0,Auburn,125.02,37.79,74.87,88.32,47.95,34.57,34.78,15.88,42.3,37.87,62.33,15.03,17.3,6.8,39.14,17.98,42.88,1.963,0.901
38.0,NC State,125.05,33.33,76.6,87.48,48.71,35.97,39.77,15.4,37.07,36.11,62.57,14.35,16.41,8.15,41.12,17.61,41.27,1.998,0.898
39.0,Saint Louis,120.47,27.96,74.52,85.25,49.61,37.92,39.69,9.1,38.5,38.23,62.08,13.48,13.04,5.88,44.48,10.68,44.85,1.996,0.896
40.0,Texas A&M,120.9,31.39,74.14,89.8,46.51,40.24,35.01,11.54,40.1,38.02,60.62,16.53,15.84,5.69,44.81,12.85,42.33,2.025,0.89
41.0,Texas,124.81,36.94,76.16,86.25,49.76,30.04,36.1,20.29,43.73,35.92,64.58,11.34,15.3,6.93,34.83,23.52,41.64,1.932,0.89
42.0,Villanova,118.96,28.4,68.67,91.01,46.37,42.44,35.49,16.7,40.99,31.87,63.67,15.32,14.56,5.62,46.64,18.35,35.02,2.116,0.89
43.0,Missouri,120.77,35.99,69.15,84.49,50.23,30.49,36.12,15.58,37.78,38.42,66.48,14.55,16.45,8.85,36.08,18.45,45.47,1.906,0.885
44.0,SMU,122.56,26.9,74.34,91.17,49.39,32.86,38.08,25.03,45.08,33.28,63.79,14.29,17.71,7.96,36.04,27.45,36.51,1.995,0.882
45.0,Cincinnati,113.85,26.88,68.19,90.89,45.05,37.94,35.93,24.85,39.04,28.09,62.68,12.83,17.24,6.96,41.75,27.34,30.91,2.108,0.879
46.0,TCU,116.92,34.62,70.8,88.82,46.0,31.74,33.7,20.54,39.57,36.53,60.31,14.56,17.61,7.5,35.73,23.13,41.13,1.946,0.876
47.0,New Mexico,119.17,31.67,71.73,89.54,46.75,34.13,37.33,15.72,40.69,39.69,57.25,14.78,16.42,5.72,38.12,17.55,44.33,1.938,0.874
48.0,Baylor,123.09,30.45,72.79,91.78,48.26,35.2,35.03,27.27,46.46,29.32,65.82,13.14,19.37,7.91,38.35,29.71,31.94,2.064,0.871
49.0,Florida State,120.68,31.47,71.07,88.68,47.23,41.31,35.22,13.83,45.28,33.54,62.82,14.79,15.12,6.51,46.58,15.6,37.82,2.088,0.868
50.0,San Diego State,114.43,31.87,73.27,86.24,47.08,28.18,35.09,24.82,37.08,33.24,64.7,14.5,16.51,6.75,32.67,28.78,38.55,1.941,0.865
51.0,UCF,119.84,29.19,74.43,90.39,48.02,31.07,36.39,22.49,39.56,36.83,62.98,11.78,17.19,7.46,34.37,24.88,40.75,1.936,0.863
52.0,VCU,119.86,34.9,73.84,87.1,46.42,36.46,36.3,15.52,42.11,35.12,58.82,13.32,15.37,5.39,41.86,17.82,40.32,2.015,0.86
53.0,USF,117.06,34.09,73.97,90.74,43.65,38.32,32.93,10.22,34.84,42.2,55.52,18.13,19.43,7.04,42.23,11.27,46.5,1.957,0.854
54.0,Virginia Tech,118.96,29.49,75.17,89.18,46.99,35.29,36.78,20.25,36.98,33.64,63.73,13.31,17.25,8.0,39.57,22.71,37.72,2.019,0.854
55.0,Washington,118.29,28.24,77.66,90.63,47.39,31.59,33.14,25.51,43.97,33.54,63.41,11.31,18.8,8.61,34.85,28.14,37.01,1.978,0.854
56.0,Seton Hall,112.41,32.75,72.96,89.88,44.36,27.94,31.4,21.97,38.12,39.97,56.86,17.94,21.3,7.9,31.09,24.44,44.47,1.866,0.849
57.0,Stanford,117.98,30.01,72.38,89.36,46.12,37.44,36.97,15.32,42.29,36.6,57.08,14.66,16.9,6.12,41.9,17.14,40.96,2.009,0.846
58.0,Northwestern,119.21,32.02,75.58,88.15,48.07,29.01,35.38,25.18,43.11,33.97,62.58,13.42,16.53,7.95,32.9,28.56,38.53,1.944,0.843
59.0,West Virginia,111.97,30.48,66.17,87.6,45.41,36.92,33.16,14.85,38.39,35.83,60.95,12.19,15.53,6.82,42.15,16.95,40.9,2.012,0.841
60.0,Belmont,121.93,27.18,69.04,84.65,51.64,38.26,41.12,12.96,43.03,33.44,67.01,10.04,12.43,6.77,45.2,15.31,39.5,2.057,0.838
61.0,Grand Canyon,113.22,31.53,74.73,86.01,45.8,32.2,33.75,18.76,36.48,35.05,61.87,11.49,13.11,5.14,37.44,21.81,40.75,1.967,0.835
62.0,Boise State,118.7,31.85,78.93,88.87,45.31,36.98,35.21,17.5,40.7,34.39,58.53,8.07,16.16,6.0,41.61,19.69,38.69,2.029,0.832
63.0,Ole Miss,115.67,29.09,73.99,88.97,46.75,32.41,33.83,28.66,41.28,27.9,67.37,14.53,13.13,5.62,36.42,32.22,31.36,2.051,0.83
64.0,McNeese,116.28,29.61,74.5,93.76,44.39,34.48,31.88,20.16,39.4,39.12,57.98,20.91,18.6,6.45,36.77,21.51,41.72,1.95,0.827
65.0,Arizona State,115.82,33.18,74.96,85.58,46.47,33.09,34.5,19.19,40.5,33.3,61.79,14.02,15.34,7.03,38.67,22.42,38.91,1.998,0.824
66.0,Northern Iowa,111.18,23.52,69.84,86.93,47.89,33.46,34.34,18.27,43.82,35.2,62.88,10.55,11.19,5.75,38.49,21.02,40.49,1.98,0.821
67.0,Wake Forest,118.53,31.66,76.82,87.18,46.42,37.46,35.43,18.96,41.35,30.75,62.94,13.68,13.16,5.69,42.97,21.75,35.28,2.077,0.819
68.0,Nevada,115.32,36.16,75.56,86.65,44.82,28.05,36.84,23.36,38.23,35.24,55.54,12.8,16.18,5.88,32.37,26.96,40.66,1.917,0.816
69.0,USC,114.71,36.5,72.6,84.32,46.75,27.9,33.56,21.26,39.7,35.17,61.48,10.83,18.12,6.85,33.08,25.21,41.71,1.914,0.813
70.0,Marquette,112.76,28.84,66.37,88.9,45.55,38.76,32.57,10.59,39.03,39.55,60.02,17.7,14.29,5.21,43.6,11.91,44.49,1.991,0.81
71.0,Akron,119.58,24.29,75.26,91.19,47.46,39.88,36.96,17.87,42.06,33.44,62.86,12.29,13.82,5.24,43.73,19.59,36.67,2.071,0.808
72.0,Georgetown,115.07,31.49,74.2,87.87,45.88,33.55,33.02,20.72,41.83,33.6,61.21,14.23,19.78,8.94,38.18,23.58,38.24,1.999,0.805
73.0,Providence,120.17,32.05,76.04,85.77,48.0,36.35,37.04,14.99,41.76,34.43,62.28,11.55,14.68,7.19,42.38,17.47,40.14,2.022,0.802
74.0,Minnesota,115.31,29.3,68.5,84.52,48.07,38.38,36.42,13.68,42.45,32.45,64.23,11.94,11.87,5.31,45.42,16.18,38.4,2.07,0.797
75.0,Tulsa,120.57,31.07,78.14,87.56,46.2,39.9,38.57,12.07,35.31,35.59,58.45,13.08,13.94,7.19,45.57,13.78,40.65,2.049,0.797
76.0,Colorado,118.68,30.58,75.87,86.83,48.35,31.29,36.79,20.08,41.52,35.46,62.41,14.6,13.09,6.06,36.03,23.13,40.84,1.952,0.797
77.0,Oklahoma State,119.81,33.17,75.0,89.1,47.02,31.99,34.83,14.82,38.53,42.29,59.22,13.39,17.54,7.35,35.9,16.63,47.46,1.884,0.791
78.0,LSU,119.77,32.48,75.42,87.2,48.5,30.25,35.36,20.78,41.38,36.16,63.57,11.03,17.37,8.15,34.69,23.84,41.47,1.932,0.788
79.0,Butler,117.18,35.46,72.33,87.09,46.39,32.09,33.43,16.67,39.14,38.33,60.4,14.02,16.88,6.35,36.85,19.14,44.01,1.928,0.786
80.0,Creighton,116.29,25.28,77.12,88.94,45.88,42.85,35.44,17.2,39.37,28.89,65.23,12.6,12.49,4.28,48.18,19.34,32.48,2.157,0.783
81.0,California,114.86,30.93,77.81,85.69,45.57,35.08,36.21,20.59,38.97,30.02,61.03,10.46,11.65,4.07,40.94,24.03,35.03,2.059,0.78
82.0,Dayton,111.42,35.48,75.13,80.54,45.65,32.45,34.64,13.05,32.75,35.04,60.65,13.45,12.27,5.24,40.29,16.21,43.51,1.968,0.777
83.0,Oregon,112.3,31.2,73.91,86.62,44.9,34.83,32.88,18.42,39.93,33.37,60.19,11.24,17.69,7.78,40.21,21.26,38.52,2.017,0.775
84.0,Utah Valley,113.26,29.19,67.72,85.55,48.56,29.46,35.31,17.54,37.03,38.54,63.94,13.75,16.77,7.95,34.44,20.51,45.05,1.894,0.772
85.0,G. Washington,116.92,29.83,71.65,89.01,45.82,41.09,34.0,9.98,38.57,37.94,60.53,12.91,18.38,7.07,46.16,11.22,42.62,2.035,0.769
86.0,Pittsburgh,114.77,27.61,67.95,90.98,45.76,37.88,33.66,17.88,41.89,35.22,60.72,12.57,16.42,6.14,41.63,19.66,38.71,2.029,0.764
87.0,Notre Dame,114.98,30.18,69.33,87.95,45.98,37.3,35.33,20.33,37.69,30.32,64.64,9.88,15.76,6.18,42.41,23.12,34.48,2.079,0.764
88.0,Xavier,117.91,26.13,74.02,90.47,46.69,37.67,37.38,22.78,41.89,30.03,62.02,15.16,13.53,5.22,41.64,25.18,33.19,2.085,0.761
89.0,Colorado State,117.19,30.15,77.46,83.18,47.68,37.67,38.53,15.96,37.81,29.55,64.66,10.03,12.61,5.27,45.29,19.19,35.52,2.098,0.758
90.0,Yale,120.14,29.77,75.2,88.72,47.75,33.65,38.72,20.48,41.73,34.59,60.09,7.08,14.89,6.73,37.93,23.08,38.99,1.989,0.758
91.0,Wichita State,111.43,30.32,70.08,91.24,43.78,31.04,33.15,25.3,39.39,34.9,56.42,11.69,20.33,8.05,34.02,27.73,38.25,1.958,0.753
92.0,South Carolina,113.66,30.03,77.62,86.57,45.13,37.8,32.27,18.23,42.67,30.54,62.53,10.76,12.36,5.13,43.66,21.06,35.28,2.084,0.75
93.0,High Point,117.15,34.21,74.86,87.53,45.11,37.51,33.53,13.47,33.56,36.56,61.24,17.33,15.86,6.34,42.85,15.38,41.76,2.011,0.747
94.0,Hofstra,113.93,28.26,75.99,90.5,43.17,39.06,36.7,23.16,38.31,28.28,56.07,8.43,16.35,6.12,43.16,25.59,31.24,2.119,0.745
95.0,Syracuse,113.9,30.29,65.37,87.42,47.63,31.89,33.93,19.9,40.57,35.63,63.85,12.42,13.12,6.32,36.48,22.77,40.75,1.957,0.742
96.0,St. Thomas,115.26,27.96,69.19,85.18,48.26,38.58,35.5,11.7,37.87,34.89,65.85,13.96,9.48,4.14,45.3,13.74,40.97,2.043,0.739
97.0,Stephen F. Austin,113.12,24.46,68.4,95.82,43.48,37.1,35.21,25.12,39.78,33.61,55.37,13.01,17.85,5.35,38.71,26.21,35.08,2.036,0.736
98.0,Mississippi St.,112.84,27.14,67.03,88.49,46.98,34.47,33.35,22.75,40.86,31.27,66.47,10.47,16.09,7.42,38.96,25.71,35.34,2.036,0.734
99.0,Miami (OH),117.06,29.78,74.4,84.64,48.14,36.94,36.32,16.3,41.6,31.41,65.44,10.38,11.19,5.47,43.64,19.25,37.1,2.065,0.731
100.0,Illinois State,111.4,27.62,71.51,85.12,46.56,35.04,35.36,19.78,37.81,30.3,65.22,8.99,10.32,4.77,41.16,23.24,35.6,2.056,0.728
101.0,UIC,112.11,30.55,73.16,88.68,45.1,29.96,32.61,23.63,40.92,35.08,58.58,14.99,17.34,7.54,33.79,26.65,39.56,1.942,0.725
102.0,Cal Baptist,108.6,27.66,71.7,91.38,42.58,31.99,34.22,20.57,37.6,38.83,52.12,8.88,16.73,6.34,35.0,22.51,42.49,1.925,0.723
