Rk,Team,O_Eff,O_FTAR,O_FT%,O_FGAR,O_FG%,O_3PAR,O_3P%,O_MRAR,O_MR%,O_NPAR,O_NP%,O_PPSt,O_PPSC,O_SCC%,O_%3PA,O_%MRA,O_%NPA,O_Prox,O_AP%,D_Eff,D_FTAR,D_FT%,D_FGAR,D_FG%,D_3PAR,D_3P%,D_MRAR,D_MR%,D_NPAR,D_NP%,D_PPSt,D_PPSC,D_SCC%,D_%3PA,D_%MRA,D_%NPA,D_Prox,D_AP%
300.0,AR-Pine Bluff,103.62,26.74,74.39,84.11,43.87,29.64,33.5,23.44,38.35,31.03,57.95,12.58,12.13,4.69,35.24,27.87,36.89,1.983,0.179,117.5,33.58,,86.81,46.42,34.78,32.52,16.51,41.08,35.51,62.51,13.45,16.99,7.22,40.07,19.02,40.91,1.992,0.179
239.0,Abil. Christian,102.24,31.09,71.67,81.94,43.28,28.08,32.14,21.42,37.83,32.45,56.52,14.76,12.71,4.54,34.27,26.13,39.6,1.947,0.349,108.96,36.36,,74.21,48.74,25.81,39.1,16.21,38.34,32.19,61.71,12.79,10.87,5.31,34.78,21.84,43.38,1.914,0.349
354.0,Air Force,94.2,23.38,62.82,81.47,42.62,31.96,31.53,17.27,32.41,32.24,59.07,7.57,11.45,4.9,39.23,21.2,39.57,1.997,0.03,118.33,29.67,,87.32,48.19,34.58,36.7,21.11,42.59,31.63,64.5,14.82,14.16,7.18,39.6,24.18,36.22,2.034,0.03
71.0,Akron,119.58,24.29,75.26,91.19,47.46,39.88,36.96,17.87,42.06,33.44,62.86,12.29,13.82,5.24,43.73,19.59,36.67,2.071,0.808,106.85,25.04,,88.13,42.81,37.24,35.08,17.71,32.26,33.18,57.11,12.18,15.04,4.59,42.25,20.1,37.65,2.046,0.808
14.0,Alabama,129.62,33.4,76.32,89.7,48.72,45.05,37.12,10.19,47.99,34.46,64.11,13.48,15.42,7.32,50.22,11.36,38.42,2.118,0.964,101.0,23.25,,91.75,40.4,32.36,32.77,27.15,36.62,32.25,51.24,9.28,16.18,5.82,35.27,29.59,35.14,2.001,0.964
4.0,Alabama 14,,8.0,,,12.0,,,16.0,,,,,,,,,,,,,8.0,,,12.0,,,16.0,,,,,,,,,,,
318.0,Alabama A&M,103.58,31.09,73.65,83.92,42.3,28.16,34.4,24.64,34.73,31.13,55.43,8.63,12.19,4.43,33.55,29.36,37.09,1.965,0.129,118.2,32.89,,86.34,47.31,34.32,36.68,16.81,34.89,35.2,63.6,10.73,16.82,7.49,39.76,19.47,40.77,1.99,0.129
314.0,Alabama State,100.31,25.5,69.9,88.65,40.55,33.66,31.46,22.12,36.04,32.87,52.9,14.13,15.78,5.57,37.97,24.96,37.08,2.009,0.14,115.61,34.12,,84.36,46.26,35.71,34.26,15.01,38.96,33.65,62.25,13.22,14.89,5.86,42.32,17.79,39.89,2.024,0.14
324.0,Albany,102.12,21.18,65.42,86.73,44.35,34.75,32.66,17.97,41.81,34.01,57.63,10.78,14.1,6.52,40.07,20.72,39.21,2.009,0.113,118.38,29.54,,89.8,46.62,34.44,38.13,18.52,38.19,36.84,58.8,15.11,16.47,6.81,38.36,20.62,41.03,1.973,0.113
344.0,Alcorn State,96.59,24.37,70.96,84.24,41.95,26.66,32.33,23.22,34.86,34.35,54.21,12.81,10.39,5.4,31.65,27.57,40.78,1.909,0.058,116.94,32.46,,85.93,48.23,33.07,32.43,15.02,38.79,37.84,65.79,11.97,15.42,7.83,38.48,17.48,44.03,1.944,0.058
