haslametrics,espn_match
AR-Pine Bluff,Arkansas-Pine Bluff
Abil. Christian,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama State,Alabama State
Albany,Albany
Alcorn State,Alcorn State
American,American
Appalachian St.,Appalachian St.
Arizona,Arizona
Arizona State,Arizona State
Arkansas,Arkansas
Arkansas State,Arkansas State
Army,Army
Auburn,Auburn
Austin Peay,Austin Peay
BYU,BYU
Ball State,Ball State
Baylor,Baylor
Bellarmine,Bellarmine
Belmont,Belmont
Bethune-Cookman,Bethune-Cookman
Binghamton,Binghamton
Boise State,Boise State
Boston College,Boston College
Boston U,Houston (fuzzy)
Bowling Green,Bowling Green
Bradley,Bradley
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
CSU Bakersfield,Cal St. Bakersfield
CSU Fullerton,Cal St. Fullerton
CSU Northridge,Cal State Northridge
Cal Baptist,California Baptist
Cal Poly,Cal Poly
California,California
Campbell,Campbell
Canisius,Canisius
Cent. Arkansas,Central Arkansas
Cent. Conn. St.,Penn St. (fuzzy)
Cent. Michigan,Central Michigan
Charleston,Charleston
Charleston So.,Charleston Southern
Charlotte,Charlotte
Chattanooga,Chattanooga
Chicago State,Chicago State
Cincinnati,Cincinnati
Clemson,Clemson
Cleveland State,Cleveland State
Coast. Carolina,Coastal Carolina
Colgate,Colgate
Colorado,Colorado
Colorado State,Colorado State
Columbia,Columbia
Coppin State,Coppin State
Cornell,Cornell
Creighton,Creighton
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
DePaul,DePaul
Delaware,Delaware
Delaware State,Delaware State
Denver,Denver
Detroit Mercy,Detroit Mercy
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
E. Illinois,Eastern Illinois
E. Kentucky,Eastern Kentucky
E. Michigan,Eastern Michigan
E. Washington,Eastern Washington
ECU,VCU (fuzzy)
ETSU,East Tennessee State
East Texas A&M,East Texas A&M
Elon,Elon
Evansville,Evansville
FAU,FIU (fuzzy)
FGCU,Florida Gulf Coast
FIU,FIU
Fair. Dickinson,Fairleigh Dickinson
Fairfield,Fairfield
Florida,Florida
Florida A&M,Florida A&M
Florida State,Florida State
Fordham,Fordham
Fort Wayne,Purdue Fort Wayne (fuzzy)
Fresno State,Fresno State
Furman,Furman
G. Washington,Washington
GA Southern,Southern
Gardner-Webb,Gardner-Webb
George Mason,George Mason
Georgetown,Georgetown
Georgia,Georgia
Georgia State,Georgia State
Georgia Tech,Georgia Tech
Gonzaga,Gonzaga
Grambling State,Grambling St.
Grand Canyon,Grand Canyon
Green Bay,Green Bay
Hampton,Hampton
Harvard,Harvard
Hawaii,Hawaii
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
Houston Christian,Houston Christian
Howard,Howard
IU Indianapolis,Indiana (fuzzy)
Idaho,Idaho
Idaho State,Idaho State
Illinois,Illinois
Illinois State,Illinois State
Incarnate Word,Incarnate Word
Indiana,Indiana
Indiana State,Indiana State
Iona,Iona
Iowa,Iowa
Iowa State,Iowa State
JMU,SMU (fuzzy)
Jackson State,Jackson State
Jacksonville,Jacksonville
Jacksonville St.,Jacksonville St.
Kansas,Kansas
Kansas City,Kansas City
Kansas State,Kansas State
Kennesaw State,Kennesaw State
Kent State,Kent State
Kentucky,Kentucky
LA Tech,Utah Tech (fuzzy)
LSU,LSU
La Salle,La Salle
Lafayette,Lafayette
Lamar,Lamar
Le Moyne,Le Moyne
Lehigh,Lehigh
Liberty,Liberty
Lindenwood,Lindenwood
Lipscomb,Lipscomb
Little Rock,Little Rock
Long Beach St.,Long Beach St.
Long Island,Rhode Island (fuzzy)
Longwood,Longwood
Louisiana,Louisiana
Louisville,Louisville
Loyola (MD),Loyola (MD)
Loyola Marymount,Loyola Marymount
Loyola-Chicago,Loyola Chicago
MTSU,Middle Tennessee
Maine,Maine
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
McNeese,McNeese State
Memphis,Memphis
Mercer,Mercer
Mercyhurst,Mercyhurst
Merrimack,Merrimack
Miami,Miami
Miami (OH),Miami (OH)
Michigan,Michigan
Michigan State,Michigan State
Milwaukee,Milwaukee
Minnesota,Minnesota
Miss. Valley St.,Mississippi Valley State
Mississippi St.,Mississippi St.
Missouri,Missouri
Missouri State,Missouri State
Monmouth,Monmouth
Montana,Montana
Montana State,Montana State
Morehead State,Morehead State
Morgan State,Morgan State
Mt. St. Mary's,Mount St. Mary's
Murray State,Murray State
N. Arizona,Arizona
N. Colorado,Colorado
N. Illinois,Illinois
N. Kentucky,Kentucky
NC A&T,North Carolina A&T
NC Central,North Carolina Central (fuzzy)
NC State,NC State
NJIT,NJIT
Navy,Navy
Nebraska,Nebraska
Nevada,Nevada
New Haven,New Haven
New Mexico,New Mexico
New Mexico St.,New Mexico State
New Orleans,New Orleans
Niagara,Niagara
Nicholls,Nicholls State
Norfolk State,Norfolk State
North Alabama,North Alabama
North Carolina,North Carolina
North Dakota,North Dakota
North Dakota St.,North Dakota State
North Florida,North Florida
North Texas,North Texas
Northeastern,Northeastern
Northern Iowa,Northern Iowa
Northwestern,Northwestern
Northwestern St.,Northwestern State
Notre Dame,Notre Dame
Oakland,Oakland
Ohio,Ohio
Ohio State,Ohio State
Oklahoma,Oklahoma
Oklahoma State,Oklahoma State
Old Dominion,Old Dominion
Ole Miss,Ole Miss
Omaha,Omaha
Oral Roberts,Oral Roberts
Oregon,Oregon
Oregon State,Oregon State
PV A&M,Prairie View
Pacific,Pacific
Penn,Penn
Penn State,Penn State
Pepperdine,Pepperdine
Pittsburgh,Pittsburgh
Portland,Portland
Portland State,Portland State
Presbyterian,Presbyterian
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Queens,Queens
Quinnipiac,Quinnipiac
Radford,Radford
Rice,Rice
Richmond,Richmond
Rider,Rider
Robert Morris,Robert Morris
Rutgers,Rutgers
S. Carolina St.,South Carolina State
S. Illinois,Illinois
S. Indiana,Indiana
SE Louisiana,SE Louisiana
