season,home_team,away_team,home_score,away_score,home_win,actual_spread,actual_total,betting_spread,betting_over_under,home_moneyline,away_moneyline,ats_result,over_result,pred_home_win_prob,pred_spread,pred_total
2023,Texas A&M-Corpus Christi,Southeast Missouri State,75,71,1,-4,146,-3.5,158.5,-165.0,130.0,0,0,0.5,0,0
2023,Rutgers,Hofstra,86,88,0,2,174,-5.5,138.5,-240.0,180.0,1,1,0.5,0,0
2023,Michigan,Toledo,90,80,1,-10,170,-5.5,163.5,-250.0,190.0,0,1,0.5,0,0
2023,UAB,Southern Miss,88,60,1,-28,148,-8.5,156.5,-450.0,300.0,0,0,0.5,0,0
2023,Liberty,Villanova,62,57,1,-5,119,-4.5,136.5,-190.0,150.0,0,0,0.5,0,0
2023,Vanderbilt,Yale,71,62,1,-9,133,-3.5,146.5,-165.0,130.0,0,0,0.5,0,0
2023,Wisconsin,Bradley,81,62,1,-19,143,-3.5,127.5,-160.0,130.0,0,1,0.5,0,0
2023,Mississippi State,Pittsburgh,59,60,0,1,119,-2.5,133.5,-140.0,115.0,1,0,0.5,0,0
2023,Colorado,Seton Hall,65,64,1,-1,129,-4.5,134.5,-190.0,150.0,1,0,0.5,0,0
2023,Washington State,Eastern Washington,74,81,0,7,155,-8.5,147.5,-500.0,340.0,1,1,0.5,0,0
2023,Texas Southern,Fairleigh Dickinson,61,84,0,23,145,-2.5,147.5,-150.0,120.0,1,0,0.5,0,0
2023,Youngstown State,Oklahoma State,64,69,0,5,133,5.5,0.0,180.0,-240.0,0,1,0.5,0,0
2023,Florida,UCF,49,67,0,18,116,-2.5,145.5,-150.0,120.0,1,0,0.5,0,0
2023,Clemson,Morehead State,64,68,0,4,132,-15.5,137.5,-1400.0,750.0,1,0,0.5,0,0
2023,North Texas,Alcorn State,69,53,1,-16,122,-16.5,124.5,-3000.0,1100.0,1,0,0.5,0,0
2023,Cincinnati,Virginia Tech,81,72,1,-9,153,-5.5,154.5,-220.0,170.0,0,0,0.5,0,0
2023,Sam Houston,Santa Clara,58,56,1,-2,114,4.5,143.5,165.0,-215.0,0,0,0.5,0,0
2023,Arizona State,Nevada,98,73,1,-25,171,-2.5,135.5,-145.0,115.0,0,1,0.5,0,0
2023,New Mexico,Utah Valley,69,83,0,14,152,-5.5,164.5,-250.0,190.0,1,0,0.5,0,0
2023,Oregon,UC Irvine,84,58,1,-26,142,-5.5,145.5,-250.0,190.0,0,0,0.5,0,0
2023,Maryland,West Virginia,67,65,1,-2,132,2.5,136.5,110.0,-140.0,0,0,0.5,0,0
2023,Virginia,Furman,67,68,0,1,135,-5.5,130.5,-240.0,180.0,1,1,0.5,0,0
2023,Missouri,Utah State,76,65,1,-11,141,1.5,155.5,,-130.0,0,0,0.5,0,0
2023,Kansas,Howard,96,68,1,-28,164,-21.5,146.5,-7000.0,2000.0,0,1,0.5,0,0
2023,Alabama,Texas A&M-Corpus Christi,96,75,1,-21,171,-24.5,154.5,-5000.0,1400.0,1,1,0.5,0,0
2023,San Diego State,Charleston,63,57,1,-6,120,-5.5,141.5,-240.0,180.0,0,0,0.5,0,0
2023,Arizona,Princeton,55,59,0,4,114,-14.5,154.5,-1100.0,650.0,1,0,0.5,0,0
2023,Arkansas,Illinois,73,63,1,-10,136,-2.5,144.5,-150.0,130.0,0,0,0.5,0,0
2023,Iowa,Auburn,75,83,0,8,158,2.5,151.5,110.0,-135.0,1,1,0.5,0,0
2023,Duke,Oral Roberts,74,51,1,-23,125,-5.5,146.5,-275.0,210.0,0,0,0.5,0,0
2023,Northwestern,Boise State,75,67,1,-8,142,-1.5,128.5,-130.0,105.0,0,1,0.5,0,0
2023,Texas,Colgate,81,61,1,-20,142,-12.5,149.5,-1000.0,700.0,0,0,0.5,0,0
2023,Houston,Northern Kentucky,63,52,1,-11,115,-19.5,122.5,-3500.0,1400.0,1,0,0.5,0,0
2023,Tennessee,Louisiana,58,55,1,-3,113,-11.5,135.5,-800.0,475.0,1,0,0.5,0,0
2023,UCLA,UNC Asheville,86,53,1,-33,139,-17.5,136.5,-2500.0,1000.0,0,1,0.5,0,0
2023,Texas A&M,Penn State,59,76,0,17,135,-2.5,135.5,-140.0,115.0,1,0,0.5,0,0
2023,Michigan State,USC,72,62,1,-10,134,-2.5,136.5,-145.0,115.0,0,0,0.5,0,0
2023,Xavier,Kennesaw State,72,67,1,-5,139,-12.5,152.5,-900.0,500.0,1,0,0.5,0,0
2023,Baylor,UC Santa Barbara,74,56,1,-18,130,-10.5,141.5,-550.0,375.0,0,0,0.5,0,0
2023,Saint Mary's,VCU,63,51,1,-12,114,-3.5,123.5,-180.0,140.0,0,0,0.5,0,0
2023,Marquette,Vermont,78,61,1,-17,139,-10.5,141.5,-650.0,400.0,0,0,0.5,0,0
2023,Iowa State,Pittsburgh,41,59,0,18,100,-4.5,131.5,-210.0,160.0,1,0,0.5,0,0
2023,Creighton,NC State,72,63,1,-9,135,-5.5,148.5,-220.0,170.0,0,0,0.5,0,0
2023,UConn,Iona,87,63,1,-24,150,-9.5,140.5,-550.0,360.0,0,1,0.5,0,0
2023,Purdue,Fairleigh Dickinson,58,63,0,5,121,-23.5,146.5,-3500.0,1200.0,1,0,0.5,0,0
2023,Kentucky,Providence,61,53,1,-8,114,-4.5,143.5,-190.0,150.0,0,0,0.5,0,0
2023,Gonzaga,Grand Canyon,82,70,1,-12,152,-15.5,153.5,-1600.0,850.0,1,0,0.5,0,0
2023,Miami,Drake,63,56,1,-7,119,-2.5,145.5,-145.0,115.0,0,0,0.5,0,0
2023,Memphis,Florida Atlantic,65,66,0,1,131,-1.5,151.5,-125.0,,1,0,0.5,0,0
2023,Kansas State,Montana State,77,65,1,-12,142,-7.5,138.5,-350.0,250.0,0,1,0.5,0,0
2023,TCU,Arizona State,72,70,1,-2,142,-5.5,143.5,-220.0,170.0,1,0,0.5,0,0
2023,Indiana,Kent State,71,60,1,-11,131,-3.5,138.5,-175.0,135.0,0,0,0.5,0,0
2023,South Carolina Upstate,Indiana State,62,67,0,5,129,11.5,0.0,450.0,-750.0,0,1,0.5,0,0
2023,Vanderbilt,Michigan,66,65,1,-1,131,-2.5,144.5,-155.0,125.0,1,0,0.5,0,0
2023,San Diego State,Furman,75,52,1,-23,127,-4.5,135.5,-210.0,160.0,0,0,0.5,0,0
2023,North Alabama,Southern Utah,50,72,0,22,122,9.5,0.0,320.0,-550.0,1,1,0.5,0,0
2023,Hofstra,Cincinnati,65,79,0,14,144,1.5,150.5,-105.0,-125.0,1,0,0.5,0,0
2023,Tennessee,Duke,65,52,1,-13,117,3.5,127.5,145.0,-180.0,0,0,0.5,0,0
2023,Southern Indiana,San José State,52,77,0,25,129,8.5,0.0,270.0,-450.0,1,1,0.5,0,0
2023,Kansas,Arkansas,71,72,0,1,143,-3.5,142.5,-165.0,130.0,1,1,0.5,0,0
2023,Western Carolina,Charlotte,56,65,0,9,121,5.5,0.0,185.0,-280.0,1,1,0.5,0,0
2023,Missouri,Princeton,63,78,0,15,141,-6.5,145.5,-310.0,225.0,1,0,0.5,0,0
2023,Houston,Auburn,81,64,1,-17,145,-5.5,132.5,-260.0,200.0,0,1,0.5,0,0
2023,Texas,Penn State,71,66,1,-5,137,-5.5,137.5,-240.0,180.0,1,0,0.5,0,0
2023,UCLA,Northwestern,68,63,1,-5,131,-7.5,126.5,-420.0,290.0,1,1,0.5,0,0
2023,Alabama,Maryland,73,51,1,-22,124,-8.5,143.5,-400.0,275.0,0,0,0.5,0,0
2023,Eastern Kentucky,Cleveland State,91,75,1,-16,166,-1.5,143.5,-130.0,,0,1,0.5,0,0
2023,Wisconsin,Liberty,75,71,1,-4,146,-3.5,128.5,-180.0,140.0,0,1,0.5,0,0
2023,Xavier,Pittsburgh,84,73,1,-11,157,-5.5,147.5,-240.0,180.0,0,1,0.5,0,0
2023,Rice,Duquesne,84,78,1,-6,162,6.5,0.0,220.0,-285.0,0,1,0.5,0,0
2023,Oklahoma State,Eastern Washington,71,60,1,-11,131,-11.5,142.5,-900.0,500.0,1,0,0.5,0,0
2023,Kansas State,Kentucky,75,69,1,-6,144,3.5,142.5,130.0,-165.0,0,1,0.5,0,0
