kenpom,espn_match,suggestions
N.C. State,,"NC State, Coppin State, App State"
St. Thomas,,"St. Thomas-Minnesota, St. John's"
Illinois Chicago,,"Illinois State, Illinois, Loyola Chicago"
Queens,,
Penn,,
FIU,,
CSUN,,
Tennessee Martin,,"Tennessee, Tennessee State, Tennessee Tech"
American,,
LIU,,LSU
Appalachian St.,,
SIUE,,
Nebraska Omaha,,Nebraska
Southeastern Louisiana,,"Southern Indiana, SE Louisiana, Southern Miss"
USC Upstate,,"NC State, South Carolina Upstate"
IU Indy,,
Loyola MD,,"Loyola Maryland, Loyola Marymount, Loyola Chicago"
New Haven,,"New Hampshire, New Orleans"
Louisiana Monroe,,"Louisiana Tech, Louisiana, SE Louisiana"
