NET_Rank,Team,Record,Conf,Road,Neutral,Home,Non_DivI,NET_Prev,Quad1,Quad2,Quad3,Quad4,Wins,Losses,canonical_team
1,Duke,32-2,ACC,10-1,7-1,15-0,0-0,1,17-2,6-0,2-0,7-0,32,2,Duke
2,Michigan,31-3,Big Ten,11-0,6-2,14-1,0-0,2,17-3,5-0,6-0,3-0,31,3,Michigan
3,Arizona,32-2,Big 12,9-1,7-0,16-1,0-0,3,16-2,8-0,1-0,7-0,32,2,Arizona
4,Florida,26-7,SEC,8-2,4-4,14-1,0-0,4,12-6,6-1,3-0,5-0,26,7,Florida
5,Houston,28-6,Big 12,6-3,7-2,15-1,0-0,5,10-6,9-0,3-0,6-0,28,6,Houston
6,Iowa St.,27-7,Big 12,5-5,6-1,16-1,0-0,7,8-7,10-0,2-0,7-0,27,7,Iowa State
7,Gonzaga,30-3,WCC,8-2,7-1,15-0,0-0,6,7-2,4-0,11-1,8-0,30,3,Gonzaga
8,Illinois,24-8,Big Ten,8-2,2-3,14-3,0-0,8,7-8,5-0,7-0,5-0,24,8,Illinois
9,Purdue,27-8,Big Ten,8-3,7-0,12-5,0-0,9,11-8,6-0,7-0,3-0,27,8,Purdue
10,UConn,29-5,Big East,9-2,5-1,15-2,0-0,10,7-3,11-1,6-1,5-0,29,5,UConn
11,Michigan St.,25-7,Big Ten,6-4,4-1,15-2,0-0,11,10-6,4-1,7-0,4-0,25,7,Michigan State
12,Virginia,29-5,ACC,8-2,5-2,16-1,0-0,12,8-4,9-1,5-0,7-0,29,5,Virginia
13,Vanderbilt,26-8,SEC,8-4,5-1,13-3,0-0,13,10-7,7-1,3-0,6-0,26,8,Vanderbilt
14,Nebraska,26-6,Big Ten,7-3,3-1,16-2,0-0,14,9-6,6-0,5-0,6-0,26,6,Nebraska
15,Arkansas,26-8,SEC,5-5,4-2,17-1,0-0,17,8-8,8-0,4-0,6-0,26,8,Arkansas
16,St. John's (NY),28-6,Big East,9-1,4-3,15-2,0-0,15,5-5,11-0,9-1,3-0,28,6,St. John's
17,Louisville,23-10,ACC,4-7,4-1,15-2,0-0,16,8-10,4-0,4-0,7-0,23,10,Louisville
18,Alabama,23-9,SEC,7-3,4-3,12-3,0-0,18,7-7,9-2,5-0,2-0,23,9,Alabama
19,Texas Tech,22-10,Big 12,5-5,3-3,14-2,0-0,19,7-9,5-1,7-0,3-0,22,10,Texas Tech
20,Tennessee,22-11,SEC,5-5,3-3,14-3,0-0,20,6-10,6-1,3-0,7-0,22,11,Tennessee
21,Kansas,23-10,Big 12,5-6,4-2,14-2,0-0,21,9-9,7-1,4-0,3-0,23,10,Kansas
22,Saint Mary's (CA),26-5,WCC,8-2,2-3,16-0,1-0,22,1-4,8-1,10-0,7-0,26,5,Saint Mary's
23,BYU,23-11,Big 12,3-6,8-2,12-3,0-0,23,7-10,8-1,3-0,5-0,23,11,BYU
24,North Carolina,24-8,ACC,4-6,2-2,18-0,0-0,24,6-8,5-0,8-0,5-0,24,8,North Carolina
25,Wisconsin,24-10,Big Ten,6-4,3-4,15-2,0-0,25,9-8,4-1,5-1,6-0,24,10,Wisconsin
26,Utah St.,27-6,Mountain West,7-5,7-0,13-1,1-0,26,4-4,9-1,9-1,5-0,27,6,Utah State
27,Iowa,21-12,Big Ten,3-8,4-1,14-3,0-0,27,5-9,4-1,6-2,6-0,21,12,Iowa
28,Kentucky,21-13,SEC,4-6,3-3,14-4,0-0,28,5-11,7-2,3-0,6-0,21,13,Kentucky
29,Ohio St.,21-12,Big Ten,5-6,2-3,14-3,0-0,29,5-11,4-1,6-0,6-0,21,12,Ohio State
30,UCLA,23-11,Big Ten,4-6,2-4,17-1,0-0,31,5-8,5-3,6-0,7-0,23,11,UCLA
31,Saint Louis,27-5,Atlantic 10,7-3,2-2,18-0,1-0,30,2-1,6-3,6-1,13-0,27,5,Saint Louis
32,Miami (FL),25-8,ACC,8-2,2-3,15-3,0-0,32,6-6,6-2,3-0,10-0,25,8,Miami
