ncaa_net,espn_match
Duke,Duke
Michigan,Michigan
Arizona,Arizona
Florida,Florida
Houston,Houston
Iowa St.,Iowa State
Gonzaga,Gonzaga
Illinois,Illinois
Purdue,Purdue
UConn,UConn
Michigan St.,Michigan State
Virginia,Virginia
Vanderbilt,Vanderbilt
Nebraska,Nebraska
Arkansas,Arkansas
St. John's (NY),St. John's
Louisville,Louisville
Alabama,Alabama
Texas Tech,Texas Tech
Tennessee,Tennessee
Kansas,Kansas
Saint Mary's (CA),Saint Mary's
BYU,BYU
North Carolina,North Carolina
Wisconsin,Wisconsin
Utah St.,Utah State
Iowa,Iowa
Kentucky,Kentucky
Ohio St.,Ohio State
UCLA,UCLA
Saint Louis,Saint Louis
Miami (FL),Miami
Georgia,Georgia
Clemson,Clemson
Villanova,Villanova
NC State,NC State
SMU,SMU
Auburn,Auburn
TCU,TCU
Santa Clara,Santa Clara
Indiana,Indiana
Texas,Texas
VCU,VCU
Texas A&M,Texas A&M
South Fla.,South Florida
New Mexico,New Mexico
San Diego St.,San Diego State
Oklahoma,Oklahoma
Cincinnati,Cincinnati
Baylor,Baylor
UCF,UCF
Tulsa,Tulsa
Seton Hall,Seton Hall
Akron,Akron
Virginia Tech,Virginia Tech
McNeese,McNeese
Washington,Washington
Missouri,Missouri
West Virginia,West Virginia
Boise St.,Boise State
Stanford,Stanford
Florida St.,Florida State
Belmont,Belmont
Miami (OH),Miami (OH)
Northwestern,Northwestern
Wake Forest,Wake Forest
California,California
Yale,Yale
Dayton,Dayton
Nevada,Nevada
Grand Canyon,Grand Canyon
UNI,Northern Iowa
Arizona St.,Arizona State
Oklahoma St.,Oklahoma State
High Point,High Point
Colorado,Colorado
LSU,LSU
Wichita St.,Wichita State
Southern California,USC
Providence,Providence
Minnesota,Minnesota
Ole Miss,Ole Miss
Creighton,Creighton
Butler,Butler
Utah Valley,Utah Valley
Syracuse,Syracuse
Colorado St.,Colorado State
Hofstra,Hofstra
SFA,SFA
Georgetown,Georgetown
George Washington,George Washington
George Mason,George Mason
Marquette,Marquette
Notre Dame,Notre Dame
Illinois St.,Illinois St.
UNCW,UNCW
Xavier,Xavier
California Baptist,California Baptist
Wyoming,Wyoming
Kansas St.,Kansas State
Hawaii,Hawaii
DePaul,DePaul
St. Thomas (MN),St. Thomas
Pittsburgh,Pittsburgh
Murray St.,Murray State
Liberty,Liberty
Sam Houston,Sam Houston
South Carolina,South Carolina
Oregon,Oregon
UIC,Illinois-Chicago
UNLV,UNLV
Mississippi St.,Mississippi St.
Bradley,Bradley
North Dakota St.,North Dakota State
Davidson,Davidson
Pacific,Pacific
UC Irvine,UC Irvine
UAB,UAB
San Francisco,San Francisco
Southern Ill.,Southern Illinois
Saint Joseph's,Saint Joseph's
Seattle U,Seattle U
Fla. Atlantic,Florida Atlantic
UC San Diego,UC San Diego
Troy,Troy
UTRGV,UT Rio Grande Valley
Wright St.,Wright St.
Montana St.,Montana St.
William & Mary,William & Mary
Toledo,Toledo
Winthrop,Winthrop
Utah,Utah
Duquesne,Duquesne
Rutgers,Rutgers
Memphis,Memphis
North Texas,North Texas
Navy,Navy
Maryland,Maryland
Penn,Penn
ETSU,East Tennessee State
Kent St.,Kent State
Penn St.,Penn State
UC Santa Barbara,UC Santa Barbara
St. Bonaventure,St. Bonaventure
Idaho,Idaho
Washington St.,Washington State
Portland St.,Portland St.
Robert Morris,Robert Morris
Northern Colo.,Northern Colorado
Cornell,Cornell
Harvard,Harvard
Rhode Island,Rhode Island
Fresno St.,Fresno St.
Arkansas St.,Arkansas St.
Kennesaw St.,Kennesaw State
Valparaiso,Valparaiso
Bowling Green,Bowling Green
Boston College,Boston College
Towson,Towson
Western Ky.,Western Kentucky
UT Arlington,UT Arlington
Col. of Charleston,Charleston
Middle Tenn.,Middle Tennessee
Austin Peay,Austin Peay
Richmond,Richmond
Central Ark.,Central Arkansas
Temple,Temple
Monmouth,Monmouth
Georgia Tech,Georgia Tech
Oregon St.,Oregon State
Marshall,Marshall
Tennessee St.,Tennessee State
Charlotte,Charlotte
Fordham,Fordham
Oakland,Oakland
Utah Tech,Utah Tech
Cal St. Fullerton,Cal State Fullerton
UC Davis,UC Davis
LMU (CA),LMU (CA)
Merrimack,Merrimack
Marist,Marist
Mercer,Mercer
Siena,Siena
Northern Ky.,Northern Kentucky
Columbia,Columbia
Furman,Furman
South Alabama,South Alabama
CSUN,CSUN
Queens (NC),Queens
New Mexico St.,New Mexico State
A&M-Corpus Christi,Texas A&M-Corpus Christi
App State,Appalachian State
Lipscomb,Lipscomb
Montana,Montana
Buffalo,Buffalo
UMBC,UMBC
FIU,FIU
LIU,LIU
Drake,Drake
Campbell,Campbell
Massachusetts,Massachusetts
Weber St.,Weber St.
Howard,Howard
Eastern Wash.,Eastern Washington
UT Martin,UT Martin
Missouri St.,Missouri State
Tulane,Tulane
James Madison,James Madison
Louisiana Tech,Louisiana Tech
South Dakota St.,South Dakota State
Drexel,Drexel
Quinnipiac,Quinnipiac
Indiana St.,Indiana St.
Southern Miss.,Southern Miss
New Orleans,New Orleans
Jacksonville St.,Jacksonville State
Samford,Samford
Green Bay,Green Bay
Youngstown St.,Youngstown State
Ga. Southern,Georgia Southern
Detroit Mercy,Detroit Mercy
Portland,Portland
Elon,Elon
Southeast Mo. St.,Southeast Missouri State
Cal Poly,Cal Poly
Colgate,Colgate
Vermont,Vermont
Western Caro.,Western Carolina
Coastal Carolina,Coastal Carolina
Tarleton St.,Tarleton St.
Ohio,Ohio
Stony Brook,Stony Brook
Saint Peter's,Saint Peter's
San Diego,San Diego
Texas St.,Texas St.
Idaho St.,Idaho State
Iona,Iona
Eastern Mich.,Eastern Michigan
UNC Asheville,UNC Asheville
Fairfield,Fairfield
Denver,Denver
Charleston So.,Charleston Southern
Rice,Rice
San Jose St.,San Jose State
La Salle,La Salle
Wofford,Wofford
FGCU,Florida Gulf Coast
Abilene Christian,Abilene Christian
Princeton,Princeton
Nicholls,Nicholls
Lamar University,Lamar
Radford,Radford
Milwaukee,Milwaukee
Purdue Fort Wayne,Purdue Fort Wayne
Old Dominion,Old Dominion
American,American
Long Beach St.,Long Beach State
Omaha,Omaha
SIUE,SIU Edwardsville
Presbyterian,Presbyterian
Bethune-Cookman,Bethune-Cookman
Lindenwood,Lindenwood
Boston U.,Boston U.
Morehead St.,Morehead State
Dartmouth,Dartmouth
Longwood,Longwood
East Carolina,East Carolina
UTEP,UTEP
Sacramento St.,Sacramento State
Hampton,Hampton
North Dakota,North Dakota
Southern Utah,Southern Utah
UC Riverside,UC Riverside
Pepperdine,Pepperdine
Lehigh,Lehigh
N.C. A&T,N.C. A&T
Mercyhurst,Mercyhurst
Southern U.,Southern
Loyola Chicago,Loyola Chicago
Central Mich.,Central Michigan
Mount St. Mary's,Mount St. Mary's
UIW,Incarnate Word
Western Mich.,Western Michigan
South Dakota,South Dakota
Bellarmine,Bellarmine
Northeastern,Northeastern
Delaware,Delaware
Chattanooga,Chattanooga
Central Conn. St.,Central Connecticut State
Le Moyne,Le Moyne
Eastern Ky.,Eastern Kentucky
UNC Greensboro,UNC Greensboro
Sacred Heart,Sacred Heart
Houston Christian,Houston Christian
Southeastern La.,Southeastern Louisiana
Brown,Brown
Jacksonville,Jacksonville
West Ga.,West Georgia
Ball St.,Ball State
Prairie View,Prairie View
Northwestern St.,Northwestern St.
Wagner,Wagner
USC Upstate,USC Upstate
East Texas A&M,East Texas A&M
Grambling,Grambling
Evansville,Evansville
Georgia St.,Georgia State
Tennessee Tech,Tennessee Tech
Little Rock,Little Rock
Alabama A&M,Alabama A&M
Oral Roberts,Oral Roberts
Florida A&M,Florida A&M
Louisiana,Louisiana
Stetson,Stetson
Northern Ariz.,Northern Arizona
Ark.-Pine Bluff,Arkansas-Pine Bluff
Cleveland St.,Cleveland St.
Norfolk St.,Norfolk State
Eastern Ill.,Eastern Illinois
IU Indy,IU Indy
UMass Lowell,UMass Lowell
Texas Southern,Texas Southern
Lafayette,Lafayette
Alabama St.,Alabama St.
New Haven,New Haven
UAlbany,UAlbany
NJIT,NJIT
Loyola Maryland,Loyola Maryland
Manhattan,Manhattan
CSU Bakersfield,Cal State Bakersfield
Holy Cross,Holy Cross
Stonehill,Stonehill
Bucknell,Bucknell
FDU,Fairleigh Dickinson
NIU,Northern Illinois
Army West Point,Army
North Florida,North Florida
North Ala.,North Alabama
Maine,Maine
Chicago St.,Chicago State
Niagara,Niagara
N.C. Central,N.C. Central
Canisius,Canisius
UTSA,UTSA
Southern Ind.,Southern Indiana
The Citadel,The Citadel
Jackson St.,Jackson State
New Hampshire,New Hampshire
Alcorn,Alcorn State
Air Force,Air Force
UMES,UMES
Morgan St.,Morgan State
Saint Francis,Saint Francis
Bryant,Bryant
ULM,ULM
South Carolina St.,South Carolina State
Rider,Rider
Kansas City,Kansas City
VMI,VMI
Binghamton,Binghamton
Gardner-Webb,Gardner-Webb
Delaware St.,Delaware State
Coppin St.,Coppin State
Western Ill.,Western Illinois
Mississippi Val.,Mississippi Valley State
