Michigan,127.87552643301,90.606979718316,0.98133108501134,18–1,18,19,59.2,42.9,41.7,27,16.5,17.2,35.6,28,74.1,64.3,41.1,35,30.2,16.5,8.5,60.1,40.9,43,42.7,72.708487795414,78.58273834523311,82.61149999999999,1.9234459324405355,2026,0,0,68.76288,,71.8,71.6,1.228,0.919,29.302863157895
Arizona,126.42547571905,92.161360891449,0.97430150885273,20–0,20,20,56.6,44.9,42.9,27.8,15.4,18.3,40,24.8,73,57.3,43.7,36.4,31.4,11.1,8.2,58,50.1,27.6,36.1,71.049715887381,79.06697266847486,81.806,1.3748,2026,0,0,73.38767999999999,,73.4,70.3,1.23,0.925,27.23014
Houston,124.89040472582,92.142972244823,0.97060498573656,17–1,17,18,52.1,45.7,25,38.1,13.2,23.7,38.6,30.9,65.2,52.8,45.7,34.2,30.5,14.1,6.9,56.2,52.1,42.1,43.3,63.367986291609,77.8192968111202,80.6265,1.5457091418283655,2026,0,0,82.26424,,76.3,67.3,1.198,0.914,24.316338888889
Connecticut,121.49516198515,92.148451715627,0.96005342312004,19–1,19,20,54.9,43.5,32.1,38.7,16.5,19.4,35,29.7,66.9,56.5,44.1,34.8,28.2,15,9.1,63.2,45.2,37.5,34.3,64.893224233584,78.30623471882643,81.38850000000001,2.0329934013197364,2026,0,0,83.0246,,71.2,72.1,1.157,0.937,31.94116
Michigan St.,119.45355459127,90.671756028278,0.95970272823352,18–2,18,20,54.4,45.7,36.4,28.3,17.9,16.8,39.3,21.7,67.4,54.7,46.7,35.8,29.7,15.3,7.5,67.5,58.2,36.2,46.5,65.318933301978,78.40517589971694,81.6885,1.839432113577284,2026,0,0,66.42344,,72.8,72.6,1.174,0.931,27.372415
Illinois,130.3651835682,99.192960757433,0.95861751750632,16–3,16,19,55.8,46,34.4,19.4,14.3,12.1,39.8,27.2,67.5,58.6,45.3,35.2,31.4,13.6,8.3,51.2,49,49.4,41.1,66.182103681188,79.60500000000002,83.0355,1.5701420852511507,2026,0,0,65.12728000000001,,79.8,69.1,1.263,1,30.433057894737
Purdue,128.81885201711,98.191489460132,0.95779550925732,17–2,17,19,58.4,49.5,27.2,21.4,14.2,16.4,37.1,26.5,67.4,59,51.7,38.4,31.2,9.5,7.3,65.7,55.6,38.7,44.3,65.173677016336,77.68813209494326,82.25650000000002,1.9788000000000001,2026,0,0,58.621,,74.8,69.5,1.247,1.01,30.279689473684
Florida,125.2306612447,95.635379431428,0.95691611569043,14–5,14,19,52.1,47,40.7,35.6,16.9,15.3,44,23.1,72.7,58.3,45.5,28.6,33.4,12.2,8.3,51.8,44.6,40.3,32.8,69.757581358794,78.88503611971106,83.045,1.923399999999999,2026,0,0,41.82752,,70.7,70.2,1.184,0.991,33.844236842105
Duke,125.23989995114,95.676282344331,0.95674804421865,18–1,18,19,57.7,46.2,43.1,23.9,16.3,19.7,37.4,26.1,69.9,62.8,45.7,34.4,31.1,12.2,7.1,59.8,52.7,45.7,44.1,67.494001184999,79.41814475025484,81.4925,0.8872225554889019,2026,0,0,91.07392,,71.7,73,1.226,0.933,33.338215789474
Vanderbilt,126.7534287963,97.162804957371,0.95509839329176,17–3,17,20,57.4,47.4,36.8,41,13.1,18.5,29.8,27.6,73,59.7,50.1,36.3,28.9,14.6,5.9,58,46.8,44.4,40.2,70.274154828584,77.23738933498042,79.9465,2.416366546618647,2026,0,0,37.72592,,77.1,76.9,1.227,1.007,29.022105
Gonzaga,124.02523382514,95.386143697261,0.95344044767967,20–1,20,21,57.4,45.4,30.9,31.6,14.3,20.5,37.3,24.6,72.7,58.7,46.9,36.2,29,10.7,6.4,55.1,53.1,29.9,44.4,69.994869899192,78.05148555148556,80.8175,2.180763847230554,2026,0,0,36.218520000000005,,70,68.4,1.229,0.91,22.191628571429
Virginia,126.23632571425,97.20866724588,0.9527951171537,16–3,16,19,55.8,44.3,36.1,35.3,15.9,15.9,40.8,30,67,56.3,44,36.7,29.8,16.6,7.7,59.6,48.9,46.3,37.1,65.382006254824,78.07037643207856,82.145,1.662,2026,0,0,55.30932,,70,72.9,1.226,0.995,25.925578947368
Nebraska,122.61325885579,95.031833131223,0.94933215741908,20–0,20,20,56.6,46.7,28.3,22.8,13.1,18.9,26.7,26.6,68.4,60.2,47.6,35.5,30.5,9.4,8.7,65,59.1,51,49.7,66.878532056272,77.68351557664535,80.73800000000001,2.2715999999999994,2026,0,0,42.31648,,76.2,70.5,1.182,0.949,27.529365
Iowa St.,124.73730629474,96.750353390756,0.94891720999035,17–2,17,19,57.9,48.4,35.5,26.3,14.8,23.5,37.8,29.2,69.3,56.6,48.9,40.1,31.9,10.3,8.3,58.3,55.1,36.1,41.5,68.011117406703,78.04779717373233,81.32399999999998,1.958208358328334,2026,0,0,48.69203999999999,,67.6,70,1.236,0.932,26.624921052632
Louisville,127.25039629665,98.77754756689,0.94847528246878,14–5,14,19,56.5,46.2,34.9,34.7,16,17.6,35.2,26.3,71.9,60.5,43.5,35.3,33.5,9.5,12.4,60.5,49.4,53.9,41.2,69.900344674578,78.28620342396778,81.7525,2.234693877551021,2026,0,0,38.720600000000005,,77.2,70.7,1.221,0.969,28.757526315789
