0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Duke,17.5,17.3,34.8,,,,,,,,,,,,,,,,
2,Michigan,17.3,17.1,34.5,,,,,,,,,,,,,,,,
3,Arizona,15.6,16.5,32.0,,,,,,,,,,,,,,,,
4,Florida,15.9,15.8,31.7,,,,,,,,,,,,,,,,
5,Houston,14.6,17.1,31.7,,,,,,,,,,,,,,,,
6,Purdue,22.3,8.0,30.2,,,,,,,,,,,,,,,,
7,Iowa State,13.5,15.9,29.4,,,,,,,,,,,,,,,,
8,Illinois,18.8,9.2,28.0,,,,,,,,,,,,,,,,
9,Connecticut,14.9,12.7,27.6,,,,,,,,,,,,,,,,
10,Gonzaga,11.8,14.1,25.9,,,,,,,,,,,,,,,,
1,Cameron Boozer,Duke,9.91,4.88,14.79,,,,,,,,,,,,,,,
2,Yaxel Lendeborg,Michigan,7.62,5.51,13.13,,,,,,,,,,,,,,,
3,Jeremy Fears Jr.,Michigan State,8.06,3.43,11.49,,,,,,,,,,,,,,,
4,Braden Smith,Purdue,8.28,3.14,11.43,,,,,,,,,,,,,,,
5,Joshua Jefferson,Iowa State,5.83,4.71,10.55,,,,,,,,,,,,,,,
6,Bruce Thornton,Ohio State,7.98,2.25,10.23,,,,,,,,,,,,,,,
7,Ja'Kobi Gillespie,Tennessee,7.23,2.97,10.2,,,,,,,,,,,,,,,
8,Patrick Ngongba,Duke,5.07,4.9,9.97,,,,,,,,,,,,,,,
9,Zuby Ejiofor,St. John's,6.01,3.92,9.93,,,,,,,,,,,,,,,
10,Kingston Flemings,Houston,6.47,3.28,9.75,,,,,,,,,,,,,,,
1,Duke 🏀🤕,17.5,17.3,34.8,-0.05,-0.05,3.0,1.0,67.1,273.0,2.0,295.0,2.0,1.06,0.24,0.82,36.0,8.0,32.0,2.0
2,Michigan 🏀🥶,17.3,17.1,34.5,0.03,0.03,4.0,2.0,71.8,22.0,1.0,121.0,1.0,1.09,0.09,1.0,37.0,3.0,31.0,3.0
3,Arizona 🏀🔒,15.6,16.5,32.0,0.03,-0.05,10.0,4.0,71.4,28.0,3.0,26.0,6.0,1.0,0.06,0.94,34.0,2.0,32.0,2.0
4,Florida 🏀,15.9,15.8,31.7,0.03,0.03,8.0,6.0,71.6,24.0,4.0,230.0,4.0,0.94,0.15,0.79,31.0,5.0,26.0,7.0
5,Houston 🏀,14.6,17.1,31.7,-0.05,-0.05,14.0,3.0,64.9,356.0,5.0,39.0,5.0,1.12,0.32,0.79,38.0,11.0,28.0,6.0
6,Purdue 🏀,22.3,8.0,30.2,-0.05,0.03,1.0,30.0,65.5,342.0,6.0,291.0,3.0,0.86,0.43,0.43,30.0,15.0,27.0,8.0
7,Iowa State 🏀,13.5,15.9,29.4,-0.05,0.03,15.0,5.0,68.3,199.0,7.0,50.0,9.0,1.24,0.47,0.76,42.0,16.0,27.0,7.0
8,Illinois 🏀,18.8,9.2,28.0,-0.05,-0.05,2.0,25.0,67.1,275.0,8.0,221.0,7.0,1.13,0.22,0.91,36.0,7.0,24.0,8.0
9,Connecticut 🏀🤕,14.9,12.7,27.6,0.03,-0.05,11.0,12.0,65.4,344.0,9.0,214.0,8.0,0.53,0.24,0.29,18.0,8.0,29.0,5.0
10,Gonzaga 🏀📉🤕,11.8,14.1,25.9,-0.05,0.03,28.0,9.0,70.4,69.0,16.0,89.0,13.0,1.09,0.36,0.73,36.0,12.0,30.0,3.0
11,St. John's 🏀,10.8,14.7,25.6,0.03,0.03,34.0,7.0,70.8,53.0,10.0,96.0,12.0,0.74,0.21,0.53,25.0,7.0,28.0,6.0
12,Michigan State 🏀,12.7,11.9,24.6,0.03,-0.05,22.0,14.0,67.2,265.0,11.0,70.0,16.0,0.66,0.19,0.47,21.0,6.0,25.0,7.0
13,Virginia 🏀,12.6,11.5,24.1,0.03,0.03,23.0,15.0,66.9,283.0,12.0,100.0,23.0,0.94,0.21,0.74,32.0,7.0,29.0,5.0
14,Vanderbilt 🏀,16.0,8.0,24.0,0.03,-0.05,7.0,31.0,70.0,96.0,13.0,120.0,14.0,0.76,0.24,0.53,26.0,8.0,26.0,8.0
15,Arkansas 🏀,17.1,6.7,23.8,-0.05,0.03,6.0,44.0,71.5,27.0,14.0,54.0,11.0,0.85,0.26,0.59,29.0,9.0,26.0,8.0
16,Tennessee 🏀🔒,11.2,12.3,23.5,-0.05,-0.05,32.0,13.0,66.2,309.0,15.0,37.0,21.0,0.64,0.18,0.45,21.0,6.0,22.0,11.0
17,Alabama 🏀🔒🤕,17.3,5.9,23.1,-0.05,0.03,5.0,55.0,74.3,2.0,20.0,188.0,15.0,0.44,0.41,0.03,14.0,13.0,23.0,9.0
18,Nebraska 🏀,8.3,14.1,22.4,0.03,0.03,51.0,8.0,68.0,223.0,17.0,175.0,32.0,0.91,0.28,0.63,29.0,9.0,26.0,6.0
19,Wisconsin 🏀,15.7,6.5,22.1,0.03,-0.05,9.0,47.0,69.2,151.0,18.0,69.0,27.0,0.76,0.32,0.44,26.0,11.0,24.0,10.0
20,Kansas 🏀🥶,8.6,13.2,21.8,-0.05,0.03,48.0,11.0,68.7,174.0,19.0,6.0,18.0,0.52,0.45,0.06,17.0,15.0,23.0,10.0
21,Louisville 🏀🥶🤕,12.5,9.2,21.7,-0.05,0.03,24.0,23.0,71.0,47.0,23.0,30.0,10.0,1.0,0.33,0.67,33.0,11.0,23.0,10.0
22,Ohio State 🏀🔒,14.9,6.4,21.2,-0.05,-0.05,12.0,49.0,67.5,244.0,22.0,161.0,17.0,0.55,0.33,0.21,18.0,11.0,21.0,12.0
23,Saint Mary's 🏀,10.0,10.7,20.7,-0.05,-0.05,39.0,18.0,66.1,318.0,21.0,22.0,45.0,0.74,0.13,0.61,23.0,4.0,26.0,5.0
24,UCLA 🏀🤕,13.1,7.2,20.3,-0.05,-0.05,17.0,38.0,66.0,323.0,26.0,18.0,22.0,0.56,0.47,0.09,19.0,16.0,23.0,11.0
25,Kentucky 🏀,10.7,9.5,20.2,-0.05,-0.05,35.0,22.0,69.8,105.0,25.0,25.0,20.0,0.62,0.38,0.24,21.0,13.0,21.0,13.0
26,Iowa 🏀📉,12.1,7.9,20.1,-0.05,-0.05,27.0,32.0,64.8,359.0,24.0,64.0,26.0,0.73,0.52,0.21,24.0,17.0,21.0,12.0
